i,j
1423,3375
1424,1962
1425,2549
1425,2888
1426,2257
1426,2954
1427,2002
1428,2550
1428,2681
1429,4186
1430,3783
1430,3940
1431,4335
1432,2983
1433,1842
1433,2922
1434,3669
1434,4161
1435,3440
1435,3468
1436,1564
1436,1884
1437,2735
1437,2990
1438,3199
1438,4375
1439,3121
1439,3223
1440,1927
1440,3125
1441,1850
1441,2524
1442,2384
1442,2500
1443,2912
1443,4189
1446,2537
1446,4045
1447,3137
1448,1944
1449,3472
1449,3798
1450,2508
1450,4062
1451,1496
1452,2238
1455,2892
1455,3569
1456,2414
1456,4433
1457,2322
1458,4157
1459,4339
1460,2270
1461,2792
1462,3089
1462,4426
1463,2186
1463,3054
1464,2367
1464,2432
1465,3427
1465,4421
1466,2180
1467,2192
1467,3728
1468,2535
1468,3473
1469,2599
1469,4050
1470,3918
1471,2305
1471,4019
1472,1704
1472,3630
1473,2182
1474,3337
1474,4372
1475,3180
1475,3812
1476,2334
1476,3008
1477,1883
1478,2247
1478,2517
1479,3979
1479,4315
1480,3838
1480,3861
1481,1955
1481,2004
1483,3156
1484,2786
1484,4281
1485,1702
1486,1620
1486,2911
1487,4207
1488,3898
1489,1651
1489,2675
1490,1630
1490,3299
1491,1710
1491,3819
1492,2601
1492,4242
1493,2688
1494,3243
1495,3229
1495,4072
1496,2864
1497,2147
1497,3354
1498,2447
1499,2503
1499,4296
1500,2422
1500,3576
1501,1940
1501,3431
1502,1874
1502,3710
1504,3019
1505,3326
1505,3682
1506,2892
1506,4382
1507,2150
1507,2288
1508,2659
1509,1712
1509,2884
1509,3088
1510,2391
1511,1922
1512,2673
1512,2698
1515,2123
1515,2326
1516,4338
1517,2948
1518,4068
1520,2070
1522,2078
1523,1872
1523,3109
1524,2344
1525,2076
1525,3698
1526,3720
1527,2584
1527,3093
1528,1662
1528,1950
1529,1789
1529,3338
1530,1579
1530,1780
1531,1993
1532,3381
1532,3597
1533,2763
1533,3532
1534,2751
1534,4005
1535,2114
1535,3479
1536,1557
1537,3438
1538,3974
1539,2698
1539,2934
1540,1788
1541,4043
1541,4053
1543,2088
1544,3014
1545,2110
1545,2213
1547,2385
1547,4293
1548,3450
1548,4337
1549,1590
1549,3394
1550,2461
1550,3030
1551,1889
1552,2158
1553,2049
1553,3303
1554,3660
1554,3907
1556,3122
1557,1714
1558,3234
1559,3187
1559,4367
1561,2656
1561,3664
1562,2067
1562,2530
1563,2665
1563,4084
1564,4145
1565,2459
1565,2796
1566,2275
1566,2727
1567,3021
1567,3884
1568,2185
1569,4268
1570,4228
1571,1908
1572,2602
1573,3139
1573,3398
1574,1751
1575,2546
1575,3362
1576,2473
1576,2776
1577,1975
1577,2752
1579,3633
1580,2160
1581,3888
1582,3556
1582,4041
1583,3113
1583,3766
1584,4294
1585,2064
1585,3356
1586,2181
1586,2752
1587,3019
1588,2956
1590,1795
1592,2142
1592,2567
1594,1903
1595,1943
1595,4312
1597,3631
1598,1730
1598,1834
1599,2528
1599,2566
1601,3237
1602,1742
1603,2572
1603,3191
1604,2005
1604,4342
1605,3105
1605,4309
1606,1828
1606,2119
1607,1791
1608,1635
1609,1828
1609,3217
1610,1986
1611,2106
1611,4233
1612,2700
1612,3522
1613,2289
1613,3190
1614,2015
1614,2421
1615,3961
1616,4385
1617,2867
1618,2298
1618,3582
1619,1713
1620,4224
1621,2890
1621,3788
1622,2001
1622,3280
1623,3926
1624,2519
1624,2668
1625,2161
1625,4011
1627,2518
1627,3341
1628,1756
1628,4151
1629,2557
1630,4066
1631,2964
1632,1756
1632,2387
1634,2314
1636,2395
1636,3422
1637,3890
1637,3892
1640,3294
1640,4314
1641,2260
1641,3863
1642,2114
1643,3616
1643,4313
1644,1958
1646,2062
1647,3199
1647,3779
1648,3473
1648,3916
1650,1968
1650,3501
1651,3313
1652,3832
1652,4423
1653,3552
1653,3990
1654,2237
1654,3308
1655,2957
1655,3967
1656,4390
1657,3912
1657,4412
1658,3281
1658,3350
1659,3262
1659,3880
1660,3318
1661,3075
1662,2881
1664,2121
1665,3135
1666,1813
1666,4055
1667,2713
1667,3471
1668,1677
1668,4341
1669,3668
1670,2824
1670,3410
1673,2212
1674,2186
1674,3011
1674,3941
1677,4429
1678,2514
1679,2857
1679,3035
1680,2635
1680,4156
1682,3593
1682,4213
1683,1736
1684,2400
1684,2492
1685,4113
1686,2314
1686,4116
1687,3247
1688,3419
1688,3678
1689,2154
1689,4103
1690,1696
1690,3981
1692,2168
1692,3765
1693,1896
1693,2917
1694,2021
1694,3816
1695,4406
1696,3786
1697,2017
1697,3119
1698,2605
1699,2476
1699,2588
1701,3040
1701,4118
1703,3706
1703,3773
1704,3394
1705,3042
1705,3407
1706,2859
1706,3034
1707,4104
1707,4398
1710,4052
1711,2794
1711,4012
1712,2306
1713,3368
1714,2971
1715,3284
1715,3416
1716,1779
1716,3298
1717,2362
1717,3534
1718,2587
1718,3328
1719,3912
1719,3920
1720,1852
1720,2756
1721,2896
1722,3588
1722,4406
1723,2673
1723,2762
1724,2167
1724,3261
1725,2038
1725,2144
1726,2034
1726,4011
1727,1983
1727,4059
1728,2208
1729,2362
1729,2834
1730,2262
1731,2062
1731,2254
1732,2021
1732,2909
1733,3785
1734,2429
1734,2808
1735,2310
1736,2747
1737,3082
1738,3478
1739,2380
1741,2605
1741,4126
1742,3279
1742,4202
1743,2274
1743,3954
1744,2300
1744,4061
1745,2940
1745,4104
1746,4124
1747,2863
1747,2955
1748,1763
1748,2072
1750,2134
1750,2343
1751,2408
1753,1992
1754,1760
1754,3810
1755,2130
1757,3387
1757,3920
1759,3954
1759,4259
1760,3171
1761,2052
1761,3424
1762,2682
1762,3916
1763,3273
1764,2273
1765,2235
1765,3876
1766,3110
1766,3151
1767,2464
1767,2593
1768,2420
1768,3406
1769,3675
1769,4407
1770,2381
1771,3356
1772,1967
1772,3870
1773,1842
1773,3544
1774,3672
1775,3828
1775,4201
1776,3799
1777,2989
1777,3815
1778,3521
1778,3919
1779,4017
1780,2438
1781,2411
1781,3016
1783,1992
1784,3906
1785,3585
1785,3946
1787,3095
1787,3580
1788,4324
1789,4232
1792,2052
1793,2054
1795,1985
1797,3147
1797,3997
1798,2397
1798,3653
1799,1801
1799,2126
1800,2759
1800,3358
1801,3223
1802,3101
1802,4305
1803,3713
1804,3232
1804,3615
1805,3510
1805,4152
1806,1980
1807,3116
1807,4415
1808,4036
1808,4149
1810,2272
1812,2348
1812,4224
1813,3773
1814,2161
1814,3297
1815,1978
1816,2674
1816,4163
1817,2103
1817,2334
1818,2054
1820,2241
